t,va,vb,vc
0,-0.0561762317065268,0.892746758433844,-0.836559859875486
0.0001,-0.0875178681682291,0.906449187617198,-0.81892355459392
0.0002,-0.118767951650978,0.919266604670669,-0.800492545781469
0.0003,-0.149895964495122,0.931168491934606,-0.781266833438134
0.0004,-0.180871389041011,0.94215484940901,-0.761276983084331
0.0005,-0.211694225288644,0.952225677093881,-0.740553560240481
0.0006,-0.242272920259068,0.961350457329566,-0.719065999386165
0.0007,-0.272637991611935,0.969529190116067,-0.696875431562219
0.0008,-0.302728404027941,0.976731357793731,-0.674012422289063
0.0009,-0.332513639847436,0.982987478022212,-0.650476971566696
0.001,-0.361963181410769,0.988267033141855,-0.626299644915537
0.0011,-0.391077028717939,0.992570023152664,-0.601511007856006
0.0012,-0.419794146449645,0.995896448054636,-0.576111060388101
0.0013,-0.448084016946235,0.998246307847772,-0.55016093355266
0.0014,-0.475946640207709,0.999619602532073,-0.523660627349684
0.0015,-0.503320980914765,0.999985814447886,-0.49664070729959
0.0016,-0.530237556727055,0.999375461254864,-0.469131738922798
0.0017,-0.556604814665624,0.997758025293355,-0.441164287739726
0.0018,-0.582422754730474,0.995164024223009,-0.412768919270793
0.0019,-0.607660859261951,0.991623975703479,-0.383945633515998
0.002,-0.632319128260058,0.987076844415462,-0.35475556151618
0.0021,-0.656336526405491,0.981553148018609,-0.325198703271337
0.0022,-0.67971305369825,0.97505288651292,-0.295336189822308
0.0023,-0.702418192478685,0.967606577558046,-0.265198586689512
0.0024,-0.724421425087144,0.959183703494336,-0.234785893872947
0.0025,-0.745722751523627,0.949845299641093,-0.204128676893033
0.0026,-0.766291654128483,0.939560848338665,-0.173288066790607
0.0027,-0.78606709758241,0.928330349587052,-0.142264063565669
0.0028,-0.80511011720471,0.916214838705557,-0.111087232738638
0.0029,-0.82332916001643,0.903153280374877,-0.0798187053503507
0.003,-0.840754743677221,0.889237227573965,-0.0484890469212262
0.0031,-0.857356350527431,0.874436162643171,-0.0170676919308458
0.0032,-0.87310346290741,0.858750085582494,0.014323097539116
0.0033,-0.887965563157506,0.842240031711237,0.0457444525294965
0.0034,-0.902003686597022,0.8249060010294,0.0771046764790396
0.0035,-0.915095762587354,0.806717475877331,0.108373203867327
0.0036,-0.927302826447802,0.787766009233984,0.139550034694358
0.0037,-0.938624878178369,0.768021083439709,0.170574037919296
0.0038,-0.94900088245975,0.747543733813806,0.20144521354214
0.0039,-0.958430839291947,0.726303442696625,0.232102430522054
0.004,-0.966914748674959,0.704361245407468,0.262545688859038
0.0041,-0.974452610608786,0.681717141946336,0.292744423032672
0.0042,-0.981013907433777,0.658401649972879,0.322637502002119
0.0043,-0.986629156809584,0.634445287146748,0.352194360246962
0.0044,-0.991267841076554,0.609848053467944,0.381414997767199
0.0045,-0.994899442575038,0.584640466596117,0.410268849042412
0.0046,-0.997584996624336,0.55888356185057,0.438725348552183
0.0047,-0.999263467905148,0.532546821571652,0.466723365255673
0.0048,-0.999965374077124,0.505691281078664,0.494262899152884
0.0049,-0.999690715140264,0.478347458031259,0.521343950243815
0.005,-0.998408973434917,0.450545870089087,0.54787482196721
0.0051,-0.996150666620734,0.422286517252148,0.573886079843488
0.0052,-0.992915794697715,0.393599917180094,0.599316592831812
0.0053,-0.98870435766586,0.364516587532574,0.624166360932181
0.0054,-0.983485837865518,0.335097563628893,0.648404818624177
0.0055,-0.977321270615991,0.305342845469049,0.672001400387381
0.0056,-0.97021065591728,0.275282950712694,0.694925540701374
0.0057,-0.962123476109733,0.244948397019479,0.717177239566157
0.0058,-0.953059731193349,0.214369702049054,0.738725931461311
0.0059,-0.943080456487433,0.183577383461072,0.759510485345999
0.006,-0.932185651991982,0.152601958915184,0.779592032261057
0.0061,-0.920344800047347,0.12150446373069,0.79887887564523
0.0062,-0.907618935972829,0.0902543802479416,0.817371015498518
0.0063,-0.893977542108777,0.0589127437862393,0.835068451820921
0.0064,-0.879451136114843,0.027540589664886,0.851940619092021
0.0065,-0.864070235650678,-0.0038620821161185,0.867956951791397
0.0066,-0.847834840716281,-0.0352952715567741,0.883117449919052
0.0067,-0.830775468971304,-0.0666674256781274,0.897422113474984
0.0068,-0.812892120415746,-0.0979480268205274,0.910840376938775
0.0069,-0.794184795049609,-0.129167592643625,0.923372240310424
0.007,-0.774714528192193,-0.160265087828118,0.934956572549096
0.0071,-0.754450802183848,-0.191179477054705,0.945654504695626
0.0072,-0.733454652343876,-0.221910760323385,0.955404905709178
0.0073,-0.711756596331928,-0.252428419974507,0.964207775589752
0.0074,-0.689326116488354,-0.28270193834842,0.972063114337347
0.0075,-0.666254765792106,-0.312700797785472,0.978940356431545
0.0076,-0.642481508923881,-0.342394480626014,0.984870067392764
0.0077,-0.618097898862635,-0.371721951550742,0.989821681700587
0.0078,-0.593103935608366,-0.400713728219308,0.993825764875431
0.0079,-0.567530136820726,-0.429278257652758,0.99682118587646
0.008,-0.541376502499714,-0.457446057510744,0.998838510224091
0.0081,-0.514704067964634,-0.485156092473963,0.999847172397907
0.0082,-0.487512833215484,-0.512377844882763,0.999908303438744
0.0083,-0.459863833571568,-0.539080797077495,0.998960772305766
0.0084,-0.431757069032885,-0.565264949058157,0.99703514451939
0.0085,-0.403192539599434,-0.5908997831651,0.994100854559199
0.0086,-0.374261798250171,-0.615954781738671,0.99021903346603
0.0087,-0.344934327325443,-0.64039942711922,0.985328550199044
0.0088,-0.315301679804203,-0.664203201647095,0.97949053579908
0.0089,-0.285333338026801,-0.687366105322296,0.97267442474572
0.009,-0.25509033731254,-0.709827102825522,0.964910782559381
0.0091,-0.224572677661418,-0.731616711816423,0.956199609240063
0.0092,-0.193871912052389,-0.752673896975698,0.946510339267348
0.0093,-0.162957522825802,-0.772968140643693,0.935934669202493
0.0094,-0.13189054530096,-0.792529960480063,0.924411468004659
