t,sigma12,sigma23,sigma31
0,0.577351232677888,0.5773550032935,0.577344571549162
1e-05,0.57735551763186,0.577344610280735,0.577350679604547
2e-05,0.577345866467895,0.577354642839997,0.577350298227631
3e-05,0.577356605954955,0.577348586262777,0.577345615295161
4e-05,0.577342945267475,0.577359966244607,0.577347895924029
5e-05,0.57733988745057,0.577359964703867,0.577350955239283
6e-05,0.577348311528545,0.577360326669784,0.577342169222809
7e-05,0.57733879901265,0.577355988613964,0.577356019771357
8e-05,0.577351232677888,0.5773550032935,0.577344571549162
9e-05,0.57735551763186,0.577344610280735,0.577350679604547
0.0001,0.577345866467895,0.577354642839997,0.577350298227631
0.00011,0.577356605954955,0.577348586262777,0.577345615295161
0.00012,0.577342945267475,0.577359966244607,0.577347895924029
0.00013,0.577351404666946,0.577352126251064,0.577347276639008
0.00014,0.577338484940502,0.577359666641238,0.577352655785461
0.00015,0.577350316236883,0.577348150283954,0.577352341040432
0.00016,0.57734140607973,0.577354343206123,0.577355058180758
0.00017,0.57735551763186,0.577344610280735,0.577350679604547
0.00018,0.577345866467895,0.577354642839997,0.577350298227631
0.00019,0.600630656678703,0.709782331674028,0.368037845745638
0.0002,0.362231295055004,0.845352696466829,0.392641448982448
0.00021,0.440340531484332,0.827214436038233,0.349022195772768
0.00022,0.445755275107282,0.8460971535853,0.292270151416261
0.00023,0.41482347633223,0.87954492328734,0.23307125820897
0.00024,0.371716071686964,0.904372221064476,0.20961404489327
0.00025,0.339546040822939,0.915440164688277,0.216050436326721
0.00026,0.339788281719365,0.905362186779418,0.254682614946903
0.00027,0.359284015064267,0.887342838223559,0.28902886356324
0.00028,0.388140184236465,0.869787351651013,0.304659088636463
0.00029,0.399371600951674,0.867488507236621,0.296590650839968
0.0003,0.405347754624231,0.869592646047553,0.281960684779119
0.00031,0.390529726584788,0.883611188195697,0.258297891491587
0.00032,0.378103293800698,0.890617253053969,0.252663427863365
0.00033,0.367676650909301,0.894742063763357,0.253476862274665
0.00034,0.368142171382574,0.890785424923874,0.266406960105994
0.00035,0.373410829555762,0.885645030779309,0.276038460773847
0.00036,0.38406319755849,0.878799029075511,0.283209686940768
0.00037,0.386466160588833,0.87920527930311,0.278643111462075
0.00038,0.389895573682384,0.878729311909994,0.275347485939264
0.00039,0.383230994354335,0.884745969493594,0.265251907497435
0.0004,0.380521007620624,0.885883697625745,0.265356057101252
0.00041,0.375717396406746,0.888421627655643,0.263710920424304
0.00042,0.377075496334944,0.885925285639399,0.270093425185628
0.00043,0.377774127929671,0.885055361929276,0.271962708081852
0.00044,0.382760722967727,0.881618882448861,0.276120218497025
0.00045,0.382154224921917,0.882899742123821,0.272848298019282
0.00046,0.384846718222817,0.881592017377996,0.273292002020773
0.00047,0.3808743558556,0.885052593241677,0.267612840214673
0.00048,0.381362273656354,0.884243170111005,0.269586409790435
0.00049,0.378368676712076,0.886280533463924,0.267102902429109
0.0005,0.380087936207609,0.884256901818687,0.271335387178776
0.00051,0.379233166215281,0.884851419824502,0.270592258715758
0.00052,0.382337686785909,0.882549502141551,0.273722979548484
0.00053,0.38070220062054,0.884129135309767,0.270890211227874
0.00054,0.383144417827688,0.882538884741007,0.27262698327125
0.00055,0.380117511253002,0.885107168056893,0.268506943472846
0.00056,0.381655993272331,0.883670308812107,0.271045177273505
0.00057,0.379287204001199,0.885514397819441,0.26833834637529
0.00058,0.381128651035553,0.883675855943395,0.271768160354609
0.00059,0.37971761416919,0.884800405136771,0.270079204233618
0.0006,0.382191348011117,0.882868827933039,0.27289632861141
0.00061,0.380167511685311,0.884579311628875,0.270170510043536
0.00062,0.382546245836911,0.882864167780808,0.272413713026321
0.00063,0.379852939347477,0.885104508188238,0.268889854873588
0.00064,0.38181145075022,0.883422634532521,0.271632959840355
0.00065,0.379639886635789,0.88520904460617,0.268846617651398
0.00066,0.381576893504081,0.883425114539606,0.271954300102903
0.00067,0.379897870171799,0.884780398527607,0.269891190334661
0.00068,0.382173576412809,0.882971820438989,0.272587824017327
0.00069,0.380006775980165,0.884726886934506,0.269913293011549
0.0007,0.382333157171596,0.882969746431183,0.272370673558026
0.00071,0.379796978594289,0.885076920581509,0.269059658263001
0.00072,0.381868484193945,0.883322916166824,0.271876969517385
0.00073,0.379777319965982,0.885086568616761,0.269055669506636
0.00074,0.381739716129452,0.883324289426373,0.272053283087705
0.00075,0.379960758016675,0.884781568402995,0.269798811305257
0.00076,0.382136695779391,0.883022671187425,0.272474783985297
0.00077,0.379956916970523,0.884783455595509,0.269798031776967
0.00078,0.382237760247382,0.883021375169608,0.272337191060345
0.00079,0.37980352056747,0.885039324080599,0.269174071179807
